,City,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.42,19.23,9.44,83,100,2.24,ZA,1594695245
1,Port Elizabeth,-33.92,25.57,10.0,81,40,13.9,ZA,1594695280
2,Pangoa,-12.12,-73.0,20.1,91,51,1.17,PE,1594695280
3,Mataura,-46.19,168.86,8.14,83,92,1.96,NZ,1594695280
4,Puerto Ayora,-0.74,-90.35,19.44,92,21,2.92,EC,1594695281
5,Cape Town,-33.93,18.42,11.11,66,75,4.6,ZA,1594695281
6,Port Hedland,-20.32,118.57,27.0,15,0,5.1,AU,1594695281
7,Mar del Plata,-38.0,-57.56,5.0,56,0,6.2,AR,1594695174
8,Kenai,60.55,-151.26,21.0,40,75,3.1,US,1594695281
9,Port Hardy,50.7,-127.42,16.0,77,20,4.1,CA,1594695281
10,Rikitea,-23.12,-134.97,22.61,84,100,6.8,PF,1594695281
11,New Norfolk,-42.78,147.06,10.0,86,14,0.73,AU,1594695071
12,Carnarvon,-24.87,113.63,23.0,73,75,5.7,AU,1594695282
13,Cockburn Town,21.46,-71.14,28.36,84,7,8.33,TC,1594695282
14,Kaoma,-14.78,24.8,9.02,62,0,1.87,ZM,1594695282
15,San Quintín,30.48,-115.95,21.35,76,4,4.39,MX,1594695282
16,Opuwo,-18.06,13.84,9.78,47,0,2.27,NA,1594695282
17,Nacala,-14.54,40.67,18.87,90,61,3.93,MZ,1594695282
18,Sitka,57.05,-135.33,13.0,87,90,4.1,US,1594695283
19,Bethel,41.37,-73.41,23.0,64,20,1.5,US,1594695283
20,Kiryat Gat,31.61,34.76,23.89,70,0,1.77,IL,1594695061
21,Ubari,26.59,12.78,23.12,33,0,3.84,LY,1594695283
22,Hervey Bay,-25.3,152.85,19.44,36,0,8.7,AU,1594695283
23,Albany,42.6,-73.97,23.89,67,34,3.25,US,1594695283
24,Guerrero Negro,27.98,-114.06,21.84,72,0,7.44,MX,1594695284
25,Buraidah,26.33,43.98,33.0,36,0,5.7,SA,1594695284
26,Chokurdakh,70.63,147.92,19.82,30,48,6.92,RU,1594695284
27,Thai Binh,20.45,106.33,32.0,75,40,3.1,VN,1594695284
28,Kahului,20.89,-156.47,31.0,45,40,11.3,US,1594695284
29,Cayenne,4.93,-52.33,26.0,94,1,3.09,GF,1594695284
30,Hithadhoo,-0.6,73.08,29.06,72,100,3.67,MV,1594695285
31,Kapaa,22.08,-159.32,28.0,74,75,6.2,US,1594695031
